Method,Accuracy,Precision,Recall,F1,AUC,Threshold,binormal_AUC
OFF-o3-q1.0-s0.0,0.9866984993178718,0.7391304347826086,0.8192771084337349,0.7771428571428571,0.9833084531879711,0.608315497636795,3.93997240780854
OFF-o3-q0.999-s1.5,0.9938608458390177,0.8651685393258427,0.927710843373494,0.8953488372093024,0.984905927677012,0.28409991560876574,3.9006086651622227
OFF-o1-q0.99-s0.5,0.9906207366984994,0.9172932330827067,0.7349397590361446,0.8160535117056856,0.9645183048797507,0.26218416452407844,3.7627627519137357
OFF-o1-q1.0-s0.0,0.9785129604365621,0.5746268656716418,0.927710843373494,0.7096774193548387,0.9790932772860482,0.6402977406978607,3.718076825037365
OFF-o1-q0.99-s0.0,0.9906207366984994,0.8936170212765957,0.7590361445783133,0.8208469055374593,0.9622442032080586,0.25895121917128605,3.6739802802382773
OFF-o1-q0.99-s1.0,0.9902796725784447,0.8865248226950354,0.7530120481927711,0.8143322475570033,0.9663113669137765,0.23959932692348965,3.508827401888349
OFF-o1-q0.99-s1.5,0.9913028649386084,0.9078014184397163,0.7710843373493976,0.8338762214983714,0.9658969327644026,0.23092323981225496,3.372242345001672
OFF-o2-q0.99-s0.5,0.9902796725784447,0.9097744360902256,0.7289156626506024,0.8093645484949833,0.9644252686421362,0.21130210749804978,3.232201068096658
OFF-o2-q0.99-s0.0,0.9911323328785812,0.9191176470588235,0.7530120481927711,0.8278145695364238,0.9649655131582842,0.21969089247286325,3.114344524460871
OFF-o2-q0.99-s1.5,0.9907912687585266,0.9,0.7590361445783133,0.8235294117647058,0.9667839487116596,0.18161149762570866,2.9280762058681558
OFF-o2-q0.99-s1.0,0.9899386084583902,0.8496732026143791,0.7831325301204819,0.8150470219435737,0.9646790038356303,0.16708853937685492,2.8051175966005037
OFF-o3-q0.99-s1.5,0.9899386084583902,0.8962962962962963,0.7289156626506024,0.8039867109634552,0.9670345122152352,0.1556617143005133,2.7710709967408316
OFF-o3-q0.99-s1.0,0.9901091405184175,0.8802816901408451,0.7530120481927711,0.8116883116883117,0.9621966278592785,0.15380542464554314,2.680576499946299
OFF-o3-q0.99-s0.5,0.9894270122783083,0.8513513513513513,0.7590361445783133,0.802547770700637,0.9625307125307124,0.1470590826123953,2.644272042237693
OFF-o3-q0.99-s0.0,0.9899386084583902,0.8543046357615894,0.7771084337349398,0.8138801261829653,0.9617346183611244,0.1549407305568457,2.567223449563965
